Country,Year,Amount,Type
France,2016,"22,239,000",Gasoline
France,2016,"63,000",Electric
France,2016,"226,000",Hybrid
Germany ,2016,"15,089,392",Gasoline
Germany (until 1990 former territory of the FRG),2016,"34,022",Electric
Germany (until 1990 former territory of the FRG),2016,,Hybrid
Hungary,2016,"970,997",Gasoline
Hungary,2016,758,Electric
Hungary,2016,0,Hybrid
Ireland,2016,"1,024,270",Gasoline
Ireland,2016,"1,700",Electric
Ireland,2016,,Hybrid
Italy,2016,"16,263,957",Gasoline
Italy,2016,"5,743",Electric
Italy,2016,"117,433",Hybrid
Latvia,2016,"355,043",Gasoline
Latvia,2016,241,Electric
Latvia,2016,27,Hybrid
Liechtenstein,2016,"9,430",Gasoline
Liechtenstein,2016,117,Electric
Liechtenstein,2016,365,Hybrid
Lithuania,2016,"847,326",Gasoline
Lithuania,2016,358,Electric
Lithuania,2016,0,Hybrid
Luxembourg,2016,"251,026",Gasoline
Luxembourg,2016,685,Electric
Luxembourg,2016,"2,480",Hybrid
Malta,2016,"88,061",Gasoline
Malta,2016,140,Electric
Malta,2016,574,Hybrid
Netherlands,2016,,Gasoline
Netherlands,2016,,Electric
Netherlands,2016,,Hybrid
North Macedonia,2016,"180,394",Gasoline
North Macedonia,2016,35,Electric
North Macedonia,2016,,Hybrid
Norway,2016,"1,281,166",Gasoline
Norway,2016,"97,532",Electric
Norway,2016,"54,545",Hybrid
Poland,2016,"6,554,145",Gasoline
Poland,2016,"14,610",Electric
Poland,2016,"323,979",Hybrid
Portugal,2016,"2,625,044",Gasoline
Portugal,2016,"2,383",Electric
Portugal,2016,"15,618",Hybrid
Romania,2016,,Gasoline
Romania,2016,,Electric
Romania,2016,,Hybrid
Slovenia,2016,"500,659",Gasoline
Slovenia,2016,457,Electric
Slovenia,2016,,Hybrid
Spain,2016,"13,032,515",Gasoline
Spain,2016,"8,411",Electric
Spain,2016,"106,752",Hybrid
Sweden,2016,"1,532,855",Gasoline
Sweden,2016,"7,532",Electric
Sweden,2016,"54,085",Hybrid
Switzerland,2016,"1,295,500",Gasoline
Switzerland,2016,"10,700",Electric
Switzerland,2016,"53,400",Hybrid
Turkey,2016,"3,803,894",Gasoline
Turkey,2016,643,Electric
Turkey,2016,395,Hybrid
United Kingdom,2016,"12,062,977",Gasoline
United Kingdom,2016,"33,434",Electric
United Kingdom,2016,"307,738",Hybrid
Austria,2017,"2,771,925",Gasoline
Austria,2017,"14,618",Electric
Austria,2017,"22,290",Hybrid
Belgium,2017,"3,344,412",Gasoline
Belgium,2017,"8,552",Electric
Belgium,2017,"58,362",Hybrid
Croatia,2017,"767,666",Gasoline
Croatia,2017,285,Electric
Croatia,2017,,Hybrid
Cyprus,2017,"83,505",Gasoline
Cyprus,2017,87,Electric
Cyprus,2017,"4,418",Hybrid
Czechia,2017,"2,097,056",Gasoline
Czechia,2017,"1,525",Electric
Czechia,2017,,Hybrid
Denmark,2017,"782,859",Gasoline
Denmark,2017,"8,765",Electric
Denmark,2017,,Hybrid
Estonia,2017,"274,839",Gasoline
Estonia,2017,"1,191",Electric
Estonia,2017,"4,648",Hybrid
Finland,2017,"867,128",Gasoline
Finland,2017,"1,538",Electric
Finland,2017,"24,472",Hybrid
France,2017,"21,774,999",Gasoline
France,2017,"86,570",Electric
France,2017,"303,893",Hybrid
Germany ,2017,"15,225,296",Gasoline
Germany (until 1990 former territory of the FRG),2017,"53,861",Electric
Germany (until 1990 former territory of the FRG),2017,,Hybrid
Hungary,2017,"1,055,268",Gasoline
Hungary,2017,"1,996",Electric
Hungary,2017,0,Hybrid
Ireland,2017,"1,127,170",Gasoline
Ireland,2017,"2,770",Electric
Ireland,2017,,Hybrid
Italy,2017,,Gasoline
Italy,2017,,Electric
Italy,2017,,Hybrid
Latvia,2017,"387,996",Gasoline
Latvia,2017,312,Electric
Latvia,2017,56,Hybrid
Liechtenstein,2017,,Gasoline
Liechtenstein,2017,,Electric
Liechtenstein,2017,,Hybrid
Lithuania,2017,"907,246",Gasoline
Lithuania,2017,619,Electric
Lithuania,2017,0,Hybrid
Luxembourg,2017,"249,284",Gasoline
Luxembourg,2017,996,Electric
Luxembourg,2017,"3,054",Hybrid
Malta,2017,"91,858",Gasoline
Malta,2017,189,Electric
Malta,2017,841,Hybrid
Netherlands,2017,,Gasoline
Netherlands,2017,,Electric
Netherlands,2017,,Hybrid
North Macedonia,2017,"192,816",Gasoline
North Macedonia,2017,37,Electric
North Macedonia,2017,,Hybrid
Norway,2017,"1,301,337",Gasoline
Norway,2017,"138,983",Electric
Norway,2017,"75,125",Hybrid
Poland,2017,"6,874,307",Gasoline
Poland,2017,"26,223",Electric
Poland,2017,"402,037",Hybrid
Portugal,2017,"2,808,780",Gasoline
Portugal,2017,"4,667",Electric
Portugal,2017,"20,156",Hybrid
Romania,2017,,Gasoline
Romania,2017,,Electric
Romania,2017,,Hybrid
Slovenia,2017,"528,809",Gasoline
Slovenia,2017,779,Electric
Slovenia,2017,,Hybrid
Spain,2017,"13,371,064",Gasoline
Spain,2017,"15,318",Electric
Spain,2017,"160,479",Hybrid
Sweden,2017,"1,648,565",Gasoline
Sweden,2017,"11,034",Electric
Sweden,2017,"70,408",Hybrid
Switzerland,2017,"1,351,200",Gasoline
Switzerland,2017,"14,500",Electric
Switzerland,2017,"63,400",Hybrid
Turkey,2017,"4,256,436",Gasoline
Turkey,2017,760,Electric
Turkey,2017,794,Hybrid
United Kingdom,2017,"12,371,742",Gasoline
United Kingdom,2017,"41,218",Electric
United Kingdom,2017,"322,237",Hybrid
USA,2012,7050000,Gasoline
USA,2013,7400000,Gasoline
USA,2014,7522000,Gasoline
USA,2015,7431000,Gasoline
USA,2016,6865000,Gasoline
USA,2017,6076000,Gasoline
USA,2018,5300000,Gasoline
USA,2012,473000,Hybrid
USA,2013,545000,Hybrid
USA,2014,508000,Hybrid
USA,2015,427000,Hybrid
USA,2016,420000,Hybrid
USA,2017,454000,Hybrid
USA,2018,466000,Hybrid
USA,2012,15000,Electric
USA,2013,48000,Electric
USA,2014,64000,Electric
USA,2015,71000,Electric
USA,2016,87000,Electric
USA,2017,104000,Electric
